dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
hierarchical_sales/W/short,TimeCopilot,461.69125742091273,461.69125742091273,9.041678339432355,0.7303589909292997,0.5696615853201108,0.459559482310429,7.15437288782513,21.48700205754429,0.9864787745363024,0.4151078751771685,0.3493664205223431,Sales,1
loop_seattle/5T/short,TimeCopilot,35.11582550573566,35.11582550573566,3.1766584739115924,0.5043912097603322,0.0911021588354409,0.0676089741244228,4.28356480301807,5.925860739650879,0.1016154291613943,0.0544726797182081,0.0436016046427134,Transport,1
loop_seattle/H/short,TimeCopilot,62.242283569235695,62.242283569235695,4.265975248197058,0.8660501767633345,0.123675206764086,0.097661989261773,7.890145339704824,7.889377894944296,0.1396500126038301,0.0755121005878186,0.0611125144330223,Transport,1
loop_seattle/D/short,TimeCopilot,18.448784817802004,18.448784817802004,2.9454716708022866,0.8893667597973234,0.0544913823365161,0.0542830942696274,9.469108156661244,4.295204863310015,0.0767610532582133,0.0526395166210478,0.0437976451719324,Transport,1
sz_taxi/15T/short,TimeCopilot,16.970653448392113,16.970653448392113,2.768767421497555,0.5523431523968114,1039448800203.1052,0.3955646394848205,4.344994837662684,4.11954529631513,0.3851951037709525,0.2588915954378182,0.2062483022006385,Transport,1
sz_taxi/H/short,TimeCopilot,7.265841640229874,7.265841640229874,1.8697022724468728,0.5699377641751315,1.123909766413656,0.2984359175663999,4.38008848435448,2.695522517106818,0.2511045562354697,0.174174304401337,0.1384303641463761,Transport,1
m_dense/H/short,TimeCopilot,43089.78857211956,43089.78857211956,89.26722765106294,0.7921908695312612,0.2863753692819957,0.2105748544654512,8.59052092151455,207.5808001047293,0.3681966135657942,0.1583378178855925,0.1305263828021132,Transport,1
m_dense/D/short,TimeCopilot,8167.028572960703,8167.028572960703,45.84068879727964,0.6825423804230932,0.1226612034991929,0.0986211480672491,8.179580734166276,90.37161375653696,0.1564466311253342,0.0793570130342006,0.0657543630403932,Transport,1
ett1/15T/short,TimeCopilot,4.57781770733472,4.57781770733472,1.1049286956787996,0.7011452908525583,0.4687633367503997,0.2446696987448156,5.476351101158151,2.139583535956173,0.4044703487956138,0.2088775163133622,0.165339278673051,Energy,7
ett1/H/short,TimeCopilot,101.1330136191198,101.1330136191198,4.961560403976944,0.8270870321136256,0.500319278383962,0.2620214363922102,5.835271817402984,10.056491118631778,0.4693775833157873,0.2315763226379548,0.1804979758372916,Energy,7
ett1/D/short,TimeCopilot,49677.91394363521,49677.91394363521,147.56372262291492,1.774252403142336,1.3441692775236855,0.4872234815226898,10.623516253669065,222.88542784048312,0.5854159694082027,0.3875810122077724,0.2956041137794847,Energy,7
ett1/W/short,TimeCopilot,1011957.1728767653,1011957.1728767653,812.9205210549491,1.52983148890384,0.6616017363557185,0.5386038150186447,8.846642452735148,1005.9608207463972,0.4002958205953012,0.3234804779106662,0.2541024452808174,Energy,7
ett2/15T/short,TimeCopilot,7.702216342646174,7.702216342646174,1.801961813884832,0.7948216853625055,0.115007599762545,0.1358810774745831,6.191634075356738,2.775286713593061,0.1317527332543178,0.0855455377047745,0.068010871082508,Energy,7
ett2/H/short,TimeCopilot,111.08349459162535,111.08349459162535,6.602935576013157,0.7581288520706242,0.1240775591525643,0.1131448359612007,5.520679300893479,10.539615485947548,0.1336716498232208,0.0837435951338946,0.0666364159578577,Energy,7
ett2/D/short,TimeCopilot,107394.3400500349,107394.3400500349,199.7623817375728,1.3566302605487015,0.4383444393541361,0.1382760401563498,10.962740740785602,327.7107566895461,0.1875575124100927,0.1143292816210743,0.0930115935089939,Energy,7
ett2/W/short,TimeCopilot,4393268.626847372,4393268.626847372,1470.3404562813896,1.0012167025904044,0.1426203775302994,0.1534762620113483,7.95602334210496,2096.0125540767576,0.1758233194561104,0.1233390225889547,0.0961875259247906,Energy,7
jena_weather/10T/short,TimeCopilot,828.619751644976,828.619751644976,5.681305431614895,0.3033015347286767,0.3190194943656728,0.5562812420202121,2.386514715249575,28.78575605477431,0.1787956229039812,0.0352880272319573,0.0282470367123362,Nature,21
jena_weather/H/short,TimeCopilot,1114.2671516666535,1114.2671516666535,8.239287884239024,0.5215663102724813,1.4170110986586484,0.5992748477517932,5.037852500049764,33.3806403723274,0.2046211765433347,0.0505063043113419,0.0420540956391067,Nature,21
jena_weather/D/short,TimeCopilot,366.6637699521878,366.6637699521878,9.47778113030058,1.000378140254235,0.6344829675545672,0.4403002028370409,6.598024324559487,19.148466516987405,0.1153050651496088,0.0570717331193879,0.0448270766953056,Nature,21
bitbrains_fast_storage/5T/short,TimeCopilot,1886235.9982757785,1886235.9982757785,159.91455783573943,0.7070124590577969,1.985398128544987,0.7268134543963763,14.151383176995845,1373.4030720352196,4.312145981561116,0.5020921621666673,0.3930489602672484,Web/CloudOps,2
bitbrains_fast_storage/H/short,TimeCopilot,2180596.7738726847,2180596.7738726847,244.70522848757423,1.0603996704920255,2.545562792561041,0.576196309633268,20.687137138924285,1476.68438532839,4.209030040412352,0.6974893673851099,0.557749278298169,Web/CloudOps,2
bitbrains_rnd/5T/short,TimeCopilot,1733240.319796704,1733240.319796704,120.4828040522798,1.6858308386473713,1.0072696102492449,0.6441691774017078,54.381235308620106,1316.525852308531,5.386843722332412,0.4929808522331466,0.3980883834548485,Web/CloudOps,2
bitbrains_rnd/H/short,TimeCopilot,1844106.5278123424,1844106.5278123424,140.91685249202595,5.852422890114724,0.9910948342263344,0.5371950862930858,198.33763043037143,1357.9788392358485,5.94317979941055,0.6167210908812049,0.5713244162831072,Web/CloudOps,2
bizitobs_application/10S/short,TimeCopilot,756604.9621277261,756604.9621277261,444.8492035908169,1.4228439608426573,0.0198724553981974,0.0202845111979339,10.254230931460237,869.8304214775004,0.0335458825448278,0.0171560556694139,0.0136133576144484,Web/CloudOps,2
bizitobs_service/10S/short,TimeCopilot,5254.437530127733,5254.437530127733,22.953738129045917,0.8410992505054966,0.0590632527498088,0.0471612085982144,8.960408771953439,72.48749913004127,0.0537010583013426,0.0170048635184711,0.0137872465011043,Web/CloudOps,2
bizitobs_l2c/5T/short,TimeCopilot,20.32080670057079,20.32080670057079,2.637088461300092,0.2736371811669997,0.1583539871525464,0.2086028748171467,2.804417770489809,4.507860545821131,0.1548181775859693,0.0905682918895841,0.0733395549985485,Web/CloudOps,7
bizitobs_l2c/H/short,TimeCopilot,86.38183412618716,86.38183412618716,5.496603702405645,0.5456377091995832,0.4186559845174549,0.6898036735068019,4.033211022331053,9.294182811102177,0.5009802563319643,0.296281016605036,0.2379357584545769,Web/CloudOps,7
electricity/15T/medium,TimeCopilot,270351.74737311015,270351.74737311015,59.07229263138479,0.9379705137279136,0.1540899053362026,0.1501940965091556,8.562701574520556,519.953601173326,0.8959324315113344,0.1017875107562592,0.0829051407312251,Energy,1
electricity/15T/long,TimeCopilot,350754.79833892337,350754.79833892337,63.68678300407552,0.9701533725723728,0.1538012347711226,0.150148343762289,8.60454450165919,592.2455557781108,0.9343399947114034,0.1004737104646307,0.0814141452988151,Energy,1
electricity/H/medium,TimeCopilot,6416190.090371392,6416190.090371392,243.6408192827964,1.0483407271121,0.2227124077583914,0.1291339734182908,10.040587447375373,2533.0199545940004,0.988721118650361,0.0951010365920263,0.0767664954882301,Energy,1
electricity/H/long,TimeCopilot,9939024.767879302,9939024.767879302,283.4081134433646,1.1538882844696006,0.2823846439229823,0.1400982265073691,11.401534499230491,3152.6218878703644,1.2433931577852149,0.1117760777060194,0.0903506800598112,Energy,1
