dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,Chronos-2,76.57036830357143,76.57036830357143,4.936408923921131,0.4979993374385745,0.4964170399098629,0.7691191173735119,3.3091562434700794,8.750449605795774,0.5298530148006348,0.29890705831800585,0.2359357980831375,Web/CloudOps,7
bizitobs_l2c/H/short,Chronos-2,47.4854484437004,47.4854484437004,4.190994989304316,0.41262127782541824,0.37390458726768583,0.5874816652328249,2.7231773555636156,6.890968614331399,0.3714408951824537,0.22590538684138434,0.17649751439409647,Web/CloudOps,7
bizitobs_service/10S/long,Chronos-2,131188.08042328042,131188.08042328042,76.91575396825397,1.3255743262231172,0.07917331917576058,0.07955421730324073,18.17709193096694,362.1989514386816,0.2683285624352049,0.056981649474530625,0.0511030149757811,Web/CloudOps,2
bizitobs_service/10S/medium,Chronos-2,37981.88444444445,37981.88444444445,39.59513888888889,0.9790487780830548,0.06515108623201885,0.0587854488312252,10.441729982856108,194.8894159374604,0.1466783495022143,0.029800231031514076,0.02211947431703989,Web/CloudOps,2
bizitobs_service/10S/short,Chronos-2,1836.175238095238,1836.175238095238,17.853725198412697,0.71692567427202,0.05574358258928572,0.04660181439112103,5.53490701103776,42.85061537592241,0.03174510577022393,0.013226610396232215,0.010125705005055306,Web/CloudOps,2
car_parts/M/short,Chronos-2,1.3728812440578502,1.3728812440578502,0.45334444113171746,0.8359773797258253,0.8484361781497719,1.903766687321476,15.376365499809188,1.1717001510872354,2.8096167687905766,1.0870734655617833,0.9660464513713963,Sales,1
covid_deaths/D/short,Chronos-2,423913.4796992481,423913.4796992481,111.35696271929825,32.53917305471355,0.08699892892236405,0.3613865596608709,604.5420741472494,651.0863842066183,0.24497442060846983,0.04189859914843811,0.034780098757498136,Healthcare,1
electricity/15T/long,Chronos-2,311064.08655255253,311064.08655255253,56.517862706456455,0.8554108103088559,0.12106029066856129,0.1287547336154514,7.247739954641148,557.7311956064073,0.8798893135132914,0.08916385493544576,0.07167304284461921,Energy,1
electricity/15T/medium,Chronos-2,259282.1163963964,259282.1163963964,51.24800267454955,0.8041393284984164,0.11774989078055213,0.12681871816274282,7.066440269952036,509.1975219857186,0.877398605698191,0.08830546919418839,0.07142175805937691,Energy,1
electricity/15T/short,Chronos-2,126343.6006644144,126343.6006644144,47.61598025760135,0.9223486782234586,0.14979325660587203,0.15631814595815297,10.501715858896683,355.4484500801972,0.7006589590333686,0.09386048287203685,0.07837870526782645,Energy,1
electricity/D/short,Chronos-2,1642103353.1594956,1642103353.1594956,4487.857657657658,1.4148597876653912,0.2449856870525856,0.0928476342553491,11.019876609629192,40522.87444344855,0.6659254039539466,0.0737504055329091,0.05806908852292287,Energy,1
electricity/H/long,Chronos-2,9137662.634666666,9137662.634666666,282.3887507507508,1.1925033326651895,0.29071461624112027,0.14178493337087086,9.865966042933266,3022.856700981154,1.1922137887853903,0.11137403977292432,0.08775034376303065,Energy,1
electricity/H/medium,Chronos-2,6055900.268108108,6055900.268108108,244.40511542792794,1.0691861062780872,0.23166439194444644,0.12954365223377676,8.94221628330075,2460.8738830155658,0.9605601728525409,0.09539937074459606,0.07593499533151156,Energy,1
electricity/H/short,Chronos-2,1843608.664054054,1843608.664054054,176.86290153434686,0.9779272228502356,0.1562493743003312,0.1299548374210392,10.392534661159486,1357.7955162888313,0.6409764491330397,0.08349191999006204,0.06793049481322216,Energy,1
