dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/H/long,Lingjiang,66.11949619,66.11949619,5.223348223,1.085711042,0.153222491,0.119351933,43.42844167,8.131389561,0.145318796,0.093348212,0.093348212,Transport,1
hospital/M/short,Lingjiang,5351.413754,5351.413754,22.45688959,0.927055078,0.276276042,0.209016333,37.08220311,73.15335777,0.265563676,0.081523724,0.081523724,Healthcare,1
saugeen/W/short,Lingjiang,1276.698888,1276.698888,20.10242001,1.630024281,0.783363484,0.571704605,65.20097124,35.73092342,1.078567635,0.606808264,0.606808264,Nature,1
bizitobs_application/10S/short,Lingjiang,12420442.35,12420442.35,1776.193782,13.46852194,0.220070906,0.216002567,538.7408774,3524.264796,0.135916806,0.068500695,0.068500695,Web/CloudOps,2
bizitobs_application/10S/medium,Lingjiang,27263041.17,27263041.17,3095.021028,90.4899274,1.289421713,0.846662587,3619.597096,5221.402222,0.205029098,0.121532367,0.121532367,Web/CloudOps,2
bizitobs_application/10S/long,Lingjiang,30453385.67,30453385.67,3339.809507,108.1856951,1.580880342,0.838894957,4327.427804,5518.458631,0.212824892,0.128803103,0.128803103,Web/CloudOps,2
solar/D/short,Lingjiang,117312.4122,117312.4122,257.7053599,1.005635604,1.02472873,0.439720075,40.22542416,342.5089958,0.494808855,0.372296482,0.372296482,Energy,1
electricity/H/short,Lingjiang,1512477.038,1512477.038,174.2815018,0.942805049,0.239339043,0.132558629,37.71220197,1229.828052,0.580566667,0.082273315,0.082273315,Energy,1
electricity/H/medium,Lingjiang,6184333.968,6184333.968,251.0831309,1.123136451,0.262241061,0.144676179,44.92545804,2486.832115,0.970692522,0.09800602,0.09800602,Energy,1
electricity/H/long,Lingjiang,9857622.18,9857622.18,295.5738628,1.280911542,0.332223318,0.158813216,51.23646168,3139.685045,1.238290873,0.116574246,0.116574246,Energy,1
solar/10T/short,Lingjiang,10.341325,10.341325,1.467231819,0.631400634,2.952455976,1.480292644,25.25602534,3.215793059,0.935473836,0.42681757,0.42681757,Energy,1
solar/10T/medium,Lingjiang,13.71749071,13.71749071,1.599425882,0.696257706,2.681779253,1.43513699,27.85030824,3.703713098,0.821868673,0.354918967,0.354918967,Energy,1
solar/10T/long,Lingjiang,17.23078861,17.23078861,1.818964621,0.791036766,3.184493026,1.44426207,31.64147063,4.150998508,0.897171913,0.3931401,0.3931401,Energy,1
ett2/H/short,Lingjiang,112.7788541,112.7788541,6.759011328,0.773369661,0.125505521,0.115092431,30.93478643,10.61973889,0.13468783,0.085723065,0.085723065,Energy,7
ett2/H/medium,Lingjiang,264.2006189,264.2006189,10.27632171,1.094375138,0.178840593,0.180144545,43.77500554,16.25424926,0.219036461,0.138480043,0.138480043,Energy,7
ett2/H/long,Lingjiang,240.0716174,240.0716174,9.712438832,1.065979518,0.182601133,0.179666149,42.63918074,15.49424465,0.212181755,0.133004375,0.133004375,Energy,7
solar/W/short,Lingjiang,1917085.458,1917085.458,1131.323325,1.259445334,0.263318267,0.222626309,50.37781336,1384.588552,0.28262914,0.230931375,0.230931375,Energy,1
electricity/15T/short,Lingjiang,126564.8955,126564.8955,52.98333762,0.990020869,0.184085553,0.168711465,39.60083477,355.7596035,0.701272322,0.104440605,0.104440605,Energy,1
electricity/15T/medium,Lingjiang,261287.4067,261287.4067,55.38113048,0.874807621,0.150832856,0.141395989,34.99230486,511.1627986,0.880784954,0.095427262,0.095427262,Energy,1
electricity/15T/long,Lingjiang,324676.191,324676.191,60.3996559,0.931307934,0.163069205,0.144819364,37.25231738,569.8036425,0.898935119,0.095287864,0.095287864,Energy,1
ett2/15T/short,Lingjiang,7.90230525,7.90230525,1.782176692,0.772194773,0.11167747,0.132295825,30.88779094,2.81110392,0.133453107,0.08460627,0.08460627,Energy,7
ett2/15T/medium,Lingjiang,11.12053604,11.12053604,2.088976957,0.866218325,0.132219268,0.160946261,34.64873302,3.334746772,0.177714692,0.111325363,0.111325363,Energy,7
ett2/15T/long,Lingjiang,11.85656817,11.85656817,2.203714723,0.913647117,0.140762422,0.170151315,36.54588469,3.443336778,0.18350165,0.117439947,0.117439947,Energy,7
